,,Standard Recovery Rectifiers,,,,,,,,,,,,,
Manufacture,Product,Status,Compliance,Number of Functions,Configuration,Package Type,IF(AV)(A),VRWM (V),"VF
(V) [max]@IF(A)","IR (uA)  [max] @
VR",TRR (μs),IFSM (A),IF(A),VR (V),"Tj [max]
(°C)"
,,,,,,,,,,,,,,,
MCC (Micro Commercial Components),SM4004PL,Active,R H,Single,,SOD-123FL,1,400,1.1,5,3,30,1,400,150
MCC (Micro Commercial Components),SM4005PL,Active,R H,Single,,SOD-123FL,1,600,1.1,5,3,30,1,600,150
MCC (Micro Commercial Components),SM4006PL,Active,R H,Single,,SOD-123FL,1,800,1.1,5,3,30,1,800,150
MCC (Micro Commercial Components),SM4007PL,Active,R H,Single,,SOD-123FL,1,1000,1.1,5,3,30,1,1000,150
MCC (Micro Commercial Components),SM5397PL,Active,R H,Single,,SOD-123FL,1.5,600,1.1,5,2,50,1.5,600,150
MCC (Micro Commercial Components),SM5398PL,Active,R H,Single,,SOD-123FL,1.5,800,1.1,5,2,50,1.5,800,150
MCC (Micro Commercial Components),SM5399PL,Active,R H,Single,,SOD-123FL,1.5,1000,1.1,5,2,50,1.5,1000,150
MCC (Micro Commercial Components),SM4002PLHE3,Active,A R H,Single,,SOD-123FL,1,100,1.1,1,3,30,1,100,150
MCC (Micro Commercial Components),SM4003PLHE3,Active,A R H,Single,,SOD-123FL,1,200,1.1,1,3,30,1,200,150
MCC (Micro Commercial Components),SM4004PLHE3,Active,A R H,Single,,SOD-123FL,1,400,1.1,1,3,30,1,400,150
MCC (Micro Commercial Components),SM4007PLHE3,Active,A R H,Single,,SOD-123FL,1,1000,1.1,1,3,30,1,1000,150
MCC (Micro Commercial Components),SM4004PLQ,Active,A R H,Single,,SOD-123FL,1,400,1.1,5,1.7,30,1,400,175
MCC (Micro Commercial Components),SM4005PLQ,Active,A R H,Single,,SOD-123FL,1,600,1.1,5,1.7,30,1,600,175
MCC (Micro Commercial Components),GS1JLF,Active,R H,Single,,SOD-323HL,1,600,1.1,5,1.2,18,1,600,150
MCC (Micro Commercial Components),GS1MLF,Active,R H,Single,,SOD-323HL,1,1000,1.1,5,1.2,18,1,1000,150
MCC (Micro Commercial Components),GS1MHL,Active,R H,Single,,SOD-123HL,1,1000,1.1,5,,30,1,1000,150
