,,Small Signal Bipolar Transistors,,,,,,,,,,,,
Manufacture,Product,Status,Compliance,Number of Functions,Polarity,Package Type,PD (W),VCEO(V),IC (A),HFE [min],HFE [max],"VCE(sat) [max]
(V)",fT(MHz),Tj [max] (°C)
,,,,,,,,,,,,,,
MCC (Micro Commercial Components),BC817-40,Active,R H,Single,NPN,SOT-23,0.3,45,0.5,250,600,0.7,100,150
MCC (Micro Commercial Components),BC817K-25,Active,R H,Single,NPN,SOT-23,0.5,45,0.5,160,400,0.7,100,150
MCC (Micro Commercial Components),BC846A,Active,R H,Single,NPN,SOT-23,0.2,65,0.1,110,220,0.5,100,150
MCC (Micro Commercial Components),BC846B,Active,R H,Single,NPN,SOT-23,0.2,65,0.1,200,450,0.5,100,150
MCC (Micro Commercial Components),BC847A,Active,R H,Single,NPN,SOT-23,0.2,45,0.1,110,220,0.5,100,150
MCC (Micro Commercial Components),BC847B,Active,R H,Single,NPN,SOT-23,0.2,45,0.1,200,450,0.5,100,150
MCC (Micro Commercial Components),BC847C,Active,R H,Single,NPN,SOT-23,0.2,45,0.1,420,800,0.5,100,150
MCC (Micro Commercial Components),BC848A,Active,R H,Single,NPN,SOT-23,0.2,30,0.1,110,220,0.5,100,150
MCC (Micro Commercial Components),BC848B,Active,R H,Single,NPN,SOT-23,0.2,30,0.1,200,450,0.5,100,150
MCC (Micro Commercial Components),BC848C,Active,R H,Single,NPN,SOT-23,0.2,30,0.1,420,800,0.5,100,150
MCC (Micro Commercial Components),BC849B,Active,R H,Single,NPN,SOT-23,0.2,30,0.1,200,450,0.5,100,150
MCC (Micro Commercial Components),BC849C,Active,R H,Single,NPN,SOT-23,0.2,30,0.1,420,800,0.5,100,150
MCC (Micro Commercial Components),2SC1623-L5,Active,R H,Single,NPN,SOT-23,0.2,50,0.1,135,270,0.3,250,150
MCC (Micro Commercial Components),2SC1623-L6,Active,R H,Single,NPN,SOT-23,0.2,50,0.1,200,400,0.3,250,150
MCC (Micro Commercial Components),2SC1623-L7,Active,R H,Single,NPN,SOT-23,0.2,50,0.1,300,600,0.3,250,150
MCC (Micro Commercial Components),2SC2411-Q,Active,R H,Single,NPN,SOT-23,0.2,32,0.5,120,270,0.4,250,150
MCC (Micro Commercial Components),2SC2411-R,Active,R H,Single,NPN,SOT-23,0.2,32,0.5,180,390,0.4,250,150
MCC (Micro Commercial Components),2SC2412-R,Active,R H,Single,NPN,SOT-23,0.2,50,0.15,180,390,0.4,150,150
MCC (Micro Commercial Components),2SC2412-S,Active,R H,Single,NPN,SOT-23,0.2,50,0.15,270,560,0.4,150,150
MCC (Micro Commercial Components),2SC2712-Y,Active,R H,Single,NPN,SOT-23,0.15,50,0.15,120,240,0.1,80,150
MCC (Micro Commercial Components),2SC2859-Y,Active,R H,Single,NPN,SOT-23,0.15,30,0.5,120,240,0.25,300,150
MCC (Micro Commercial Components),BCW66F,Active,R H,Single,NPN,SOT-23,0.2,45,0.8,100,250,0.3,100,150
MCC (Micro Commercial Components),BCW66G,Active,R H,Single,NPN,SOT-23,0.2,45,0.8,110,,0.3,100,150
MCC (Micro Commercial Components),BCW66H,Active,R H,Single,NPN,SOT-23,0.33,45,0.8,180,,0.3,100,150
MCC (Micro Commercial Components),BCX70J,Active,R H,Single,NPN,SOT-23,0.25,45,0.2,250,460,0.35,100,150
MCC (Micro Commercial Components),FMMT491,Active,R H,Single,NPN,SOT-23,0.5,60,1,80,,0.5,150,150
MCC (Micro Commercial Components),FMMT493,Active,R H,Single,NPN,SOT-23,0.25,100,1,20,,0.3,150,150
MCC (Micro Commercial Components),KTC3875-GR,Active,R H,Single,NPN,SOT-23,0.15,50,0.15,200,400,0.25,80,150
MCC (Micro Commercial Components),KTC3875-Y,Active,R H,Single,NPN,SOT-23,0.15,50,0.15,120,240,0.25,80,150
MCC (Micro Commercial Components),MMBT1815-H,Active,R H,Single,NPN,SOT-23,0.2,50,0.15,200,400,0.25,80,150
MCC (Micro Commercial Components),MMBT2222A,Active,R H,Single,NPN,SOT-23,0.35,40,0.6,75,,0.3,300,150
MCC (Micro Commercial Components),BCV47,Active,R H,Single,NPN,SOT-23,0.3,60,0.5,2000,,1,170,150
MCC (Micro Commercial Components),MMBT3904,Active,R H,Single,NPN,SOT-23,0.35,40,0.2,100,300,0.2,300,150
MCC (Micro Commercial Components),MMBT4401,Active,R H,Single,NPN,SOT-23,0.35,40,0.6,80,,0.4,250,150
MCC (Micro Commercial Components),BC848BW,Active,R H,Single,NPN,SOT-323,0.2,30,0.1,200,450,0.25,100,150
MCC (Micro Commercial Components),BC848CW,Active,R H,Single,NPN,SOT-323,0.2,30,0.1,420,800,0.25,100,150
MCC (Micro Commercial Components),BC848AW,Active,R H,Single,NPN,SOT-323,0.2,30,0.1,110,220,0.25,100,150
MCC (Micro Commercial Components),BC847CW,Active,R H,Single,NPN,SOT-323,0.2,45,0.1,420,800,0.25,100,150
MCC (Micro Commercial Components),BC847AW,Active,R H,Single,NPN,SOT-323,0.2,45,0.1,110,220,0.25,100,150
MCC (Micro Commercial Components),BC847BW,Active,R H,Single,NPN,SOT-323,0.2,45,0.1,200,450,0.25,100,150
MCC (Micro Commercial Components),BC846AW,Active,R H,Single,NPN,SOT-323,0.2,65,0.1,110,220,0.25,100,150
MCC (Micro Commercial Components),BC846BW,Active,R H,Single,NPN,SOT-323,0.2,65,0.1,200,450,0.25,100,150
MCC (Micro Commercial Components),BC817-40W,Active,R H,Single,NPN,SOT-323,0.2,45,0.5,250,600,0.7,100,150
MCC (Micro Commercial Components),BC817-25W,Active,R H,Single,NPN,SOT-323,0.2,45,0.5,160,400,0.7,100,150
MCC (Micro Commercial Components),BC817-16W,Active,R H,Single,NPN,SOT-323,0.2,45,0.5,100,250,0.7,100,150
MCC (Micro Commercial Components),MMBT5550,Active,R H,Single,NPN,SOT-23,0.225,140,0.6,60,250,0.15,,150
MCC (Micro Commercial Components),MMBT5551,Active,R H,Single,NPN,SOT-23,0.3,160,0.6,100,300,0.2,100,150
MCC (Micro Commercial Components),MMBTA05,Active,R H,Single,NPN,SOT-23,0.3,60,0.5,100,,0.25,100,150
MCC (Micro Commercial Components),MMBTA06,Active,R H,Single,NPN,SOT-23,0.3,80,0.5,100,,0.25,100,150
MCC (Micro Commercial Components),2SC4081-A,Active,R H,Single,NPN,SOT-323,0.2,50,0.15,120,270,0.4,180,150
MCC (Micro Commercial Components),2SC4081-B,Active,R H,Single,NPN,SOT-323,0.2,50,0.15,180,390,0.4,180,150
MCC (Micro Commercial Components),2SC4097-P,Active,R H,Single,NPN,SOT-323,0.2,32,0.5,82,180,0.4,250,150
MCC (Micro Commercial Components),2SC4097-Q,Active,R H,Single,NPN,SOT-323,0.2,32,0.5,120,270,0.4,250,150
MCC (Micro Commercial Components),2SC4097-R,Active,R H,Single,NPN,SOT-323,0.2,32,0.5,180,390,0.4,250,150
MCC (Micro Commercial Components),BC847BWHE3,Active,A R H,Single,NPN,SOT-323,0.2,45,0.1,200,450,0.5,150,150
MCC (Micro Commercial Components),BC847CWHE3,Active,A R H,Single,NPN,SOT-323,0.2,45,0.1,420,800,0.5,150,150
MCC (Micro Commercial Components),BC848AWHE3,Active,A R H,Single,NPN,SOT-323,0.2,30,0.1,110,220,0.5,150,150
MCC (Micro Commercial Components),BC848BWHE3,Active,A R H,Single,NPN,SOT-323,0.2,30,0.1,200,450,0.5,150,150
MCC (Micro Commercial Components),BC848CWHE3,Active,A R H,Single,NPN,SOT-323,0.2,30,0.1,420,800,0.5,150,150
MCC (Micro Commercial Components),MMST2222AHE3,Active,A R H,Single,NPN,SOT-323,0.2,40,0.6,100,300,0.6,300,150
MCC (Micro Commercial Components),BC846AWHE3,Active,A R H,Single,NPN,SOT-323,0.2,65,0.1,110,220,0.5,150,150
MCC (Micro Commercial Components),BC846BWHE3,Active,A R H,Single,NPN,SOT-323,0.2,65,0.1,200,450,0.5,150,150
MCC (Micro Commercial Components),BC847AWHE3,Active,A R H,Single,NPN,SOT-323,0.2,45,0.1,110,220,0.5,150,150
MCC (Micro Commercial Components),MMSTA42HE3,Active,A R H,Single,NPN,SOT-323,0.2,300,0.2,40,,0.5,50,150
MCC (Micro Commercial Components),MMST3904HE3,Active,A R H,Single,NPN,SOT-323,0.2,40,0.2,100,300,0.3,250,150
MCC (Micro Commercial Components),MMST4401HE3,Active,A R H,Single,NPN,SOT-323,0.2,40,0.6,100,300,0.4,150,150
MCC (Micro Commercial Components),BC817-16WHE3,Active,A R H,Single,NPN,SOT-323,0.2,45,0.5,100,250,0.7,100,150
MCC (Micro Commercial Components),BC817-25WHE3,Active,A R H,Single,NPN,SOT-323,0.2,45,0.5,160,400,0.7,100,150
MCC (Micro Commercial Components),BC817-40WHE3,Active,A R H,Single,NPN,SOT-323,0.2,45,0.5,250,600,0.7,100,150
MCC (Micro Commercial Components),MMBT4401HE3,Active,A R H,Single,NPN,SOT-23,0.35,40,0.6,80,,0.4,250,150
MCC (Micro Commercial Components),MMST2222A,Active,R H,Single,NPN,SOT-323,0.2,40,0.6,100,300,0.6,300,150
MCC (Micro Commercial Components),MMST3904,Active,R H,Single,NPN,SOT-323,0.2,40,0.2,100,300,0.3,300,150
MCC (Micro Commercial Components),MMST4401,Active,R H,Single,NPN,SOT-323,0.2,40,0.6,100,300,0.4,250,150
MCC (Micro Commercial Components),MMSS8050W-H,Active,R H,Single,NPN,SOT-323,0.2,25,1.5,200,350,0.5,100,150
MCC (Micro Commercial Components),MMSS8050W-L,Active,R H,Single,NPN,SOT-323,0.2,25,1.5,120,200,0.5,100,150
MCC (Micro Commercial Components),MMSTA06HE3,Active,A R H,Single,NPN,SOT-323,0.2,80,0.5,100,400,0.25,100,150
MCC (Micro Commercial Components),MMST5551HE3,Active,A R H,Single,NPN,SOT-323,0.2,160,0.6,30,,0.2,100,150
MCC (Micro Commercial Components),MMSTA05,Active,R H,Single,NPN,SOT-323,0.2,60,0.5,100,400,0.25,100,150
MCC (Micro Commercial Components),MMSTA06,Active,R H,Single,NPN,SOT-323,0.2,80,0.5,100,400,0.25,100,150
MCC (Micro Commercial Components),MMST5551,Active,R H,Single,NPN,SOT-323,0.2,160,0.2,30,,0.2,300,150
MCC (Micro Commercial Components),MMSTA42,Active,R H,Single,NPN,SOT-323,0.2,300,0.2,40,,0.5,50,150
MCC (Micro Commercial Components),MMBT2222AT,Active,R H,Single,NPN,SOT-523,0.15,40,0.6,100,300,1,300,150
MCC (Micro Commercial Components),MMBT3904T,Active,R H,Single,NPN,SOT-523,0.15,40,0.2,100,300,0.3,300,150
MCC (Micro Commercial Components),BC847CT,Active,R H,Single,NPN,SOT-523,0.15,45,0.1,420,800,0.6,100,150
MCC (Micro Commercial Components),BC847BT,Active,R H,Single,NPN,SOT-523,0.15,45,0.1,200,450,0.6,100,150
MCC (Micro Commercial Components),BC847AT,Active,R H,Single,NPN,SOT-523,0.15,45,0.1,110,220,0.6,100,150
MCC (Micro Commercial Components),2SC4617-R,Active,R H,Single,NPN,SOT-523,0.15,50,0.15,180,390,0.4,180,150
MCC (Micro Commercial Components),MMBT2222ATS,Active,R H,Single,NPN,SOT-523,0.15,40,0.6,100,300,1,300,150
MCC (Micro Commercial Components),MMBT2222AM,Active,R H,Single,NPN,SOT-723,0.1,40,0.6,100,300,0.3,,150
MCC (Micro Commercial Components),BC846AM3,Active,R H,Single,NPN,SOT-723,0.265,65,0.1,110,220,0.3,100,150
MCC (Micro Commercial Components),BC846BM3,Active,R H,Single,NPN,SOT-723,0.265,65,0.1,200,450,0.3,100,150
MCC (Micro Commercial Components),BC847AM3,Active,R H,Single,NPN,SOT-723,0.265,45,0.1,110,220,0.3,100,150
MCC (Micro Commercial Components),BC847BM3,Active,R H,Single,NPN,SOT-723,0.265,45,0.1,200,450,0.3,100,150
MCC (Micro Commercial Components),BC847CM3,Active,R H,Single,NPN,SOT-723,0.265,45,0.1,420,800,0.3,100,150
MCC (Micro Commercial Components),BC848AM3,Active,R H,Single,NPN,SOT-723,0.265,30,0.1,110,220,0.3,100,150
MCC (Micro Commercial Components),BC848BM3,Active,R H,Single,NPN,SOT-723,0.265,30,0.1,200,450,0.3,100,150
MCC (Micro Commercial Components),BC848CM3,Active,R H,Single,NPN,SOT-723,0.265,30,0.1,420,800,0.3,100,150
MCC (Micro Commercial Components),BC847BL3,Active,R H,Single,NPN,DFN1006-3,0.15,45,0.1,200,450,0.6,100,150
MCC (Micro Commercial Components),BC847AL3,Active,R H,Single,NPN,DFN1006-3,0.15,45,0.1,110,220,0.6,100,150
MCC (Micro Commercial Components),BC846BL3,Active,R H,Single,NPN,DFN1006-3,0.15,65,0.1,200,450,0.6,100,150
MCC (Micro Commercial Components),BC846AL3,Active,R H,Single,NPN,DFN1006-3,0.15,65,0.1,110,220,0.6,100,150
MCC (Micro Commercial Components),BC848BL3,Active,R H,Single,NPN,DFN1006-3,0.15,30,0.1,200,450,0.6,100,150
MCC (Micro Commercial Components),BC848CL3,Active,R H,Single,NPN,DFN1006-3,0.15,30,0.1,420,800,0.6,100,150
MCC (Micro Commercial Components),BC848AL3,Active,R H,Single,NPN,DFN1006-3,0.15,30,0.1,110,220,0.6,100,150
MCC (Micro Commercial Components),BC847CL3,Active,R H,Single,NPN,DFN1006-3,0.15,45,0.1,420,800,0.6,100,150
MCC (Micro Commercial Components),MMBT3904L3,Active,R H,Single,NPN,DFN1006-3,0.15,40,0.2,100,300,0.3,300,150
MCC (Micro Commercial Components),FMMT4350D,Active,R H,Single,NPN,SOT23-6L,1.5,50,3,200,,0.29,,150
MCC (Micro Commercial Components),FMMT302ND,Active,R H,Single,NPN,SOT23-6L,1.5,40,4,300,,0.45,,150
MCC (Micro Commercial Components),FMMT302PD,Active,R H,Single,PNP,SOT23-6L,1.5,-40,-4,200,,-0.45,,150
MCC (Micro Commercial Components),FMMT5350D,Active,R H,Single,PNP,SOT23-6L,1.5,-50,-3,200,,-0.3,,150
MCC (Micro Commercial Components),BC857CL3,Active,R H,Single,PNP,DFN1006-3,0.15,-45,-0.1,420,800,-0.65,100,150
MCC (Micro Commercial Components),BC858CL3,Active,R H,Single,PNP,DFN1006-3,0.15,-30,-0.1,420,800,-0.65,100,150
MCC (Micro Commercial Components),BC858BL3,Active,R H,Single,PNP,DFN1006-3,0.15,-30,-0.1,200,450,-0.65,100,150
MCC (Micro Commercial Components),BC858AL3,Active,R H,Single,PNP,DFN1006-3,0.15,-30,-0.1,110,220,-0.65,100,150
