Manufacture,Product,Status,Compliance,Number of Functions,Polarity,Package Type,PD (W),VCEO(V),IC (A),HFE [min],HFE [max],VCE(sat) [max] (V),fT(MHz),Tj [max] (°C)
MCC (Micro Commercial Components),FMMT5330X,Active,R H,Single,PNP,SOT-89,0.5,-30,-3,175,450,-0.32,120,150
MCC (Micro Commercial Components),FMMT5240X,Active,R H,Single,PNP,SOT-89,0.5,-40,-2,300,,-0.14,100,150
MCC (Micro Commercial Components),2SA1213-Y,Active,R H,Single,PNP,SOT-89,0.5,-50,-2,120,240,-0.5,120,150
MCC (Micro Commercial Components),BCX53-16HE3,Active,A R H,Single,PNP,SOT-89,0.5,-80,-1,100,250,-0.5,50,150
MCC (Micro Commercial Components),FMMT306PX,Active,R H,Single,PNP,SOT-89,0.5,-100,-3.7,200,,-0.3,100,150
MCC (Micro Commercial Components),2SA1900,Active,R H,Single,PNP,SOT-89,0.5,-50,-1,120,270,-0.4,,150
MCC (Micro Commercial Components),FMMT4140X,Active,R H,Single,PNP,SOT-89,0.5,-140,-4,100,300,-0.36,,150
MCC (Micro Commercial Components),2SA2016,Active,R H,Single,PNP,SOT-89,0.5,-50,-7,200,560,-0.4,290,150
MCC (Micro Commercial Components),2SB1013-O,Active,R H,Single,PNP,SOT-89,0.5,-160,-1,100,200,-1.5,15,150
MCC (Micro Commercial Components),2SB1013-P,Active,R H,Single,PNP,SOT-89,0.5,-160,-1,160,320,-1.5,15,150
MCC (Micro Commercial Components),FMMT5350X,Active,R H,Single,PNP,SOT-89,0.5,-50,-3,200,,-0.09,100,150
MCC (Micro Commercial Components),FMMT5540X,Active,R H,Single,PNP,SOT-89,0.5,-40,-4,250,,-0.12,90,150
MCC (Micro Commercial Components),MJD31C,Active,R H,Single,NPN,DPAK,1.25,100,3,10,75,1.2,3,150
MCC (Micro Commercial Components),MJD31CHE3,Active,A R H,Single,NPN,DPAK,1.25,100,3,10,75,1.2,3,150
MCC (Micro Commercial Components),MJD41CHE3,Active,A R H,Single,NPN,DPAK,1.25,100,6,15,155,1.5,3,150
MCC (Micro Commercial Components),MJD44C,Active,R H,Single,NPN,DPAK,1.25,80,8,40,,1,10,150
MCC (Micro Commercial Components),MJD31CS,Active,R H,Single,NPN,DPAK,1.25,100,3,10,75,1.2,3,150
MCC (Micro Commercial Components),MJD41C,Active,R H,Single,NPN,DPAK,1.25,100,6,15,155,1.5,3,150
MCC (Micro Commercial Components),FMMT4350XHE3,Active,A R H,Single,NPN,SOT-89,0.5,50,3,300,700,0.37,100,150
MCC (Micro Commercial Components),FMMT304NXHE3,Active,A R H,Single,NPN,SOT-89,0.6,60,4.7,300,,0.245,100,150
MCC (Micro Commercial Components),FMMT306NX,Active,R H,Single,NPN,SOT-89,0.5,100,4.5,200,,0.245,100,150
MCC (Micro Commercial Components),FMMT4350X,Active,R H,Single,NPN,SOT-89,0.5,50,3,300,700,0.37,100,150
MCC (Micro Commercial Components),FMMT4240X,Active,R H,Single,NPN,SOT-89,0.5,40,2,300,900,0.51,200,150
MCC (Micro Commercial Components),FMMT4540X,Active,R H,Single,NPN,SOT-89,0.5,40,4,300,,0.355,100,150
MCC (Micro Commercial Components),BCX56-16HE3,Active,A R H,Single,NPN,SOT-89,0.5,80,1,100,250,0.5,130,150
MCC (Micro Commercial Components),PXT8050-D,Active,R H,Single,NPN,SOT-89,0.5,25,1.5,160,300,0.5,100,150
MCC (Micro Commercial Components),PXTA44,Active,R H,Single,NPN,SOT-89,0.5,400,0.3,50,200,0.4,,150
MCC (Micro Commercial Components),2SC2383P-O,Active,R H,Single,NPN,SOT-89,0.5,160,1,100,200,1,20,150
MCC (Micro Commercial Components),2SC2383P-Y,Active,R H,Single,NPN,SOT-89,0.5,160,1,160,320,1,20,150
MCC (Micro Commercial Components),2SC2873-Y,Active,R H,Single,NPN,SOT-89,0.5,50,2,120,240,0.5,120,150
MCC (Micro Commercial Components),2SC2881-Y,Active,R H,Single,NPN,SOT-89,0.5,120,0.8,120,240,1,120,150
MCC (Micro Commercial Components),2SD1664-R,Active,R H,Single,NPN,SOT-89,0.5,32,1,180,390,0.4,150,150
MCC (Micro Commercial Components),2SD1898-R,Active,R H,Single,NPN,SOT-89,0.5,80,1,180,390,0.15,100,150
MCC (Micro Commercial Components),BCX54,Active,R H,Single,NPN,SOT-89,0.5,45,1,63,250,0.5,130,150
MCC (Micro Commercial Components),BCX54-16,Active,R H,Single,NPN,SOT-89,0.5,45,1,100,250,0.5,130,150
MCC (Micro Commercial Components),BCX55,Active,R H,Single,NPN,SOT-89,0.5,60,1,63,250,0.5,130,150
MCC (Micro Commercial Components),BCX55-16,Active,R H,Single,NPN,SOT-89,0.5,60,1,100,250,0.5,130,150
MCC (Micro Commercial Components),BCX56,Active,R H,Single,NPN,SOT-89,0.5,80,1,63,250,0.5,130,150
MCC (Micro Commercial Components),BCX56-16,Active,R H,Single,NPN,SOT-89,0.5,80,1,100,250,0.5,130,150
MCC (Micro Commercial Components),BD882-Y,Active,R H,Single,NPN,SOT-89,0.5,30,3,160,320,0.5,50,150
MCC (Micro Commercial Components),BD882HY,Active,R H,Single,NPN,SOT-89,0.5,70,3,160,320,0.5,50,150
MCC (Micro Commercial Components),PXT2222A,Active,R H,Single,NPN,SOT-89,0.5,40,0.6,100,300,0.3,300,150
MCC (Micro Commercial Components),PXT3904,Active,R H,Single,NPN,SOT-89,0.5,40,0.2,100,300,0.2,300,150
MCC (Micro Commercial Components),CXT5551,Active,R H,Single,NPN,SOT-89,0.5,160,0.6,80,,0.15,100,150
MCC (Micro Commercial Components),TIP41C,Active,R,Single,NPN,TO-220,2,100,6,30,,1.5,3,150
MCC (Micro Commercial Components),TIP42A,Active,R,Single,PNP,TO-220,2,-60,-6,30,,-1.5,3,150
MCC (Micro Commercial Components),TIP42C,Active,R,Single,PNP,TO-220,2,-100,-6,30,,-1.5,3,150
MCC (Micro Commercial Components),TIP31C,Active,R,Single,NPN,TO-220,2,100,3,25,,1.2,3,150
