Manufacture,Product,Status,Compliance,Number of Functions,Channel,Package Type,Drain-Source Voltage VDS (V),Gate-Source Voltage VGS (V),Drain Current ID (A),Drain-Source On-Resistance RDS(ON) Max @VGS=10V (Ω),Drain-Source On-Resistance RDS(ON) Max @VGS=4.5V (Ω),Drain-Source On-Resistance RDS(ON) Max @VGS=2.5V (Ω),Gate Threshold Voltage VGS(th) Min (V),Gate Threshold Voltage VGS(th) Max (V),ESD Diodes,Junction Temperature Tj [max] (°C),Single Pulsed Avalanche Energy EAS(mJ),Pulsed Drain Current IDM(A)
MCC (Micro Commercial Components),MCAC012N10YLHE3,Active,A R H,Single,N,DFN5060,100,±20,58,0.012,0.017,,1,2.5,No,175,81,232
MCC (Micro Commercial Components),MCG013N10YL,Active,R H,Single,N,DFN3333,100,±20,45,0.013,0.016,,1,3,No,150,100,180
MCC (Micro Commercial Components),MCAC6D5N10YL,Active,R H,Single,N,DFN5060,100,±20,74,0.0065,0.0085,,1.1,2.5,No,150,289,296
MCC (Micro Commercial Components),MCACLD85N04YL,Active,R H,Single,N,DFN5060-C,40,±20,300,0.00085,0.0014,,1,2.5,No,175,1250,1200
MCC (Micro Commercial Components),MCQ011N06YL,Active,R H,Single,N,SOP-8,60,±20,10,0.011,0.015,,1,3,No,150,84,40
MCC (Micro Commercial Components),MCAC012N15YH,Active,R H,Single,N,DFN5060,150,±20,70,0.0118,,,2,4,No,150,361,280
MCC (Micro Commercial Components),MCAC9D5N06YL,Active,R H,Single,N,DFN5060,60,±20,60,0.0095,0.013,,1,3,No,150,64,240
MCC (Micro Commercial Components),MCAC150N03A,Active,R H,Single,N,DFN5060,30,±20,150,0.002,0.003,,1,2.5,No,150,400,300
MCC (Micro Commercial Components),MCAC30N06Y,Active,R H,Single,N,DFN5060,60,±20,30,0.02,0.022,,1,2.5,No,150,100,120
MCC (Micro Commercial Components),MCAC38N10Y,Active,R H,Single,N,DFN5060,100,±20,38,0.0175,0.0215,,1,2.5,No,150,81,160
MCC (Micro Commercial Components),MCAC40N03A,Active,R H,Single,N,DFN5060,30,±20,40,0.0075,0.0115,,1,2.5,No,150,55,160
MCC (Micro Commercial Components),MCAC50N03,Active,R H,Single,N,DFN5060,30,±20,50,0.0047,0.006,,1,2.5,No,175,196,200
MCC (Micro Commercial Components),MCAC50N10Y,Active,R H,Single,N,DFN5060,100,±20,50,0.006,0.01,,1,3,No,150,100,200
MCC (Micro Commercial Components),MCAC80N10Y,Active,R H,Single,N,DFN5060,100,±20,80,0.0043,0.0063,,1,3,No,150,64,320
MCC (Micro Commercial Components),MCAC88N12,Active,R H,Single,N,DFN5060,120,±20,88,0.0072,,,2,4,No,150,400,352
MCC (Micro Commercial Components),MCAC88N12A,Active,R H,Single,N,DFN5060,120,±20,88,0.0076,0.0096,,1,3,No,150,400,352
MCC (Micro Commercial Components),MCAC90N10Y,Active,R H,Single,N,DFN5060,100,±20,90,0.0048,,,2,4,No,150,400,360
MCC (Micro Commercial Components),MCAC95N065Y,Active,R H,Single,N,DFN5060,65,±20,95,0.0028,0.0038,,1.2,2.2,No,150,800,380
MCC (Micro Commercial Components),MCAC95N06Y,Active,R H,Single,N,DFN5060,60,±20,95,0.0028,0.0038,,1.2,2.2,No,150,800,390
MCC (Micro Commercial Components),MCAC95N06YB,Active,R H,Single,N,DFN5060,60,±20,95,0.0029,,,2,4,No,150,800,380
MCC (Micro Commercial Components),MCAC60N10Y,Active,R H,Single,N,DFN5060,100,±20,60,0.0086,,,2.2,3.4,No,150,200,240
MCC (Micro Commercial Components),MCAC60N10YA,Active,R H,Single,N,DFN5060,100,±20,60,0.0086,0.013,,1.3,2.5,No,150,200,240
MCC (Micro Commercial Components),MCAC60N15YA,Active,R H,Single,N,DFN5060,150,±25,60,0.019,,,2,4,No,150,25,240
MCC (Micro Commercial Components),MCAC68N03Y,Active,R H,Single,N,DFN5060,30,±20,68,0.0072,0.0124,,1,2,No,150,41.4,272
MCC (Micro Commercial Components),MCG20N04,Active,R H,Single,N,DFN3333,40,±20,20,0.014,0.0185,,1,2.5,No,150,40,80
MCC (Micro Commercial Components),MCG30N03A,Active,R H,Single,N,DFN3333,30,±20,30,0.01,0.013,,1,2.5,No,175,60,120
MCC (Micro Commercial Components),MCG35N04A,Active,R H,Single,N,DFN3333,40,±20,35,0.008,0.013,,1,2.5,No,150,120,160
MCC (Micro Commercial Components),MCAC38N10YHE3,Active,A R H,Single,N,DFN5060,100,±20,38,0.019,0.023,,1,2.5,No,150,81,160
MCC (Micro Commercial Components),MCACL175N06Y,Active,R H,Single,N,DFN5060-C,60,±20,175,0.00225,0.003,,1,2.5,No,150,992,700
MCC (Micro Commercial Components),MCG53N06AHE3,Active,A R H,Single,N,DFN3333,60,±20,53,0.0082,0.012,,1.2,2.5,No,150,162,212
MCC (Micro Commercial Components),MCG40N10Y,Active,R H,Single,N,DFN3333,100,±20,40,0.0185,0.0225,,1,2.5,No,150,81,160
MCC (Micro Commercial Components),MCAC38N10YA,Active,R H,Single,N,DFN5060,100,±20,38,0.02,,,2,4,No,150,84,152
MCC (Micro Commercial Components),MCG50N04,Active,R H,Single,N,DFN3333,40,±20,50,0.004,0.0052,,1,2.5,No,150,400,200
MCC (Micro Commercial Components),MCAC100N08YA,Active,R H,Single,N,DFN5060,80,±20,100,0.0045,0.0065,,1,2.5,No,150,600,400
MCC (Micro Commercial Components),MCACL120N10Y,Active,R H,Single,N,DFN5060-C,100,±20,120,0.0042,,,2,4,No,150,552,480
MCC (Micro Commercial Components),MCACL120N10YA,Active,R H,Single,N,DFN5060-C,100,±20,120,0.004,0.005,,1,2.5,No,150,529,480
MCC (Micro Commercial Components),MSJAC11N50B,Active,R H,Single,N,DFN5060,500,±30,11,0.42,,,2,4,No,150,80,44
MCC (Micro Commercial Components),MCAC100N08Y,Active,R H,Single,N,DFN5060,80,±20,100,0.0045,,,2,4,No,150,600,400
MCC (Micro Commercial Components),MCACL110N08Y,Active,R H,Single,N,DFN5060-C,80,±20,110,0.0039,,,2,4,No,150,846,440
MCC (Micro Commercial Components),MCAC60N10YAHE3,Active,A R H,Single,N,DFN5060,100,±20,60,0.01,0.013,,1,2.8,No,150,200,240
MCC (Micro Commercial Components),MCAC30N04HE3,Active,A R H,Single,N,DFN5060,40,±20,30,0.016,0.02,,1,2.5,No,150,40,120
MCC (Micro Commercial Components),MCAC53N06YHE3,Active,A R H,Single,N,DFN5060,60,±20,53,0.0075,0.0095,,1.2,2.5,No,150,114,212
MCC (Micro Commercial Components),MCAC60N04HE3,Active,A R H,Single,N,DFN5060,40,±20,60,0.007,,,1,2.5,No,150,100,240
MCC (Micro Commercial Components),MCG40N10YHE3,Active,A R H,Single,N,DFN3333,100,±20,40,0.0185,0.0225,,1,2.5,No,150,81,110
MCC (Micro Commercial Components),MCG05N20,Active,R H,Single,N,DFN3333,200,±20,5,0.32,,,1,2,No,150,60,20
MCC (Micro Commercial Components),MCG45N10Y,Active,R H,Single,N,DFN3333,100,±20,45,0.012,,,2,4,No,150,12,180
MCC (Micro Commercial Components),MCACL320N04YQ,Active,A R H,Single,N,DFN5060-C,40,±20,320,0.0011,,,2,4,No,175,541,1280
MCC (Micro Commercial Components),MCAC130N04YHE3,Active,A R H,Single,N,DFN5060,40,±20,130,0.00175,0.0025,,1.2,2.5,No,175,661,520
MCC (Micro Commercial Components),MCAC100N10YHE3,Active,A R H,Single,N,DFN5060,100,±20,100,0.0055,,,2,4,No,150,400,360
MCC (Micro Commercial Components),MCAC30N06HE3,Active,A R H,Single,N,DFN5060,60,±20,30,0.021,0.026,,1,2.5,No,150,90,120
MCC (Micro Commercial Components),MCAC15N15Y,Active,R H,Single,N,DFN5060,150,±20,15,0.07,,,2,4,No,150,4.4,60
MCC (Micro Commercial Components),MCAC95N06YHE3,Active,A R H,Single,N,DFN5060,60,±20,95,0.0038,0.0045,,1.2,2.2,No,150,1000,390
MCC (Micro Commercial Components),MCAC55N10Y,Active,R H,Single,N,DFN5060,100,±20,55,0.014,0.022,,1,3,No,150,121,220
MCC (Micro Commercial Components),MCAC57N15Y,Active,R H,Single,N,DFN5060,150,±20,57,0.017,,,2,4,No,150,81,200
MCC (Micro Commercial Components),MCG30N04HE3,Active,A R H,Single,N,DFN3333,40,±20,30,0.014,0.0185,,1,2.5,No,150,40,120
MCC (Micro Commercial Components),MCG35N04HE3,Active,A R H,Single,N,DFN3333,40,±20,35,0.008,0.013,,1,2.5,No,150,120,160
MCC (Micro Commercial Components),MCACL200N04YA,Active,R H,Single,N,DFN5060-C,40,±20,200,0.0013,0.002,,1,2.5,No,150,625,800
MCC (Micro Commercial Components),MCQ10N06Y,Active,R H,Single,N,SOP-8,60,±20,10,0.019,0.022,,1,2.5,No,150,40,40
MCC (Micro Commercial Components),MCAC100N04,Active,R H,Single,N,DFN5060,40,±20,100,0.0035,0.0048,,1,2.5,No,150,400,400
MCC (Micro Commercial Components),MCG15N10,Active,R H,Single,N,DFN3333,100,±20,15,0.099,,,2,4,No,150,20,60
MCC (Micro Commercial Components),MCAC75N06Y,Active,R H,Single,N,DFN5060,60,±20,75,0.0056,,,2,4,No,175,169,300
MCC (Micro Commercial Components),MCACL220N04YHE3,Active,A R H,Single,N,DFN5060-C,40,±20,220,0.0013,0.002,,1,2.5,No,175,625,880
MCC (Micro Commercial Components),MCAC75N04YHE3,Active,A R H,Single,N,DFN5060,40,±20,75,0.0068,,,2,4,No,175,84,300
MCC (Micro Commercial Components),MCACL1D6N06YL,Active,R H,Single,N,DFN5060-C,60,±20,230,0.0016,0.0025,,1,2.5,No,150,576,920
MCC (Micro Commercial Components),MCACL220N06YHE3,Active,A R H,Single,N,DFN5060-C,60,±20,220,0.0016,0.0024,,1,2.5,No,150,1428,800
MCC (Micro Commercial Components),MCAC70N15YHE3,Active,A R H,Single,N,DFN5060,150,±20,70,0.017,,,2,4,No,175,81,280
MCC (Micro Commercial Components),MCACL330N04Y,Active,R H,Single,N,DFN5060-C,40,±20,330,0.00085,,,2,4,No,175,2000,1320
MCC (Micro Commercial Components),MCG60N06Y,Active,R H,Single,N,DFN3333,60,±20,60,0.006,0.0083,,1,2.5,No,175,144,240
MCC (Micro Commercial Components),MCACL220N06Y,Active,R H,Single,N,DFN5060-C,60,±20,220,0.0016,0.0024,,1,2.5,No,150,676,800
MCC (Micro Commercial Components),MCAC65N06YHE3,Active,A R H,Single,N,DFN5060,60,±20,65,0.0052,0.0078,,1,2.5,No,175,144,260
MCC (Micro Commercial Components),MCACL170N08Y,Active,R H,Single,N,DFN5060,80,±20,170,0.0025,,,2,4,No,150,648,680
MCC (Micro Commercial Components),MCG60N06YHE3,Active,A R H,Single,N,DFN3333,60,±20,60,0.006,0.0083,,1,2.5,No,175,144,240
MCC (Micro Commercial Components),MCAC80N04Y,Active,R H,Single,N,DFN5060,40,±20,80,0.0026,,,2,4,No,150,200,320
MCC (Micro Commercial Components),MCAC65N06Y,Active,R H,Single,N,DFN5060,60,±20,65,0.0057,0.0078,,1,2.5,No,175,144,260
MCC (Micro Commercial Components),MCACL1D7N04YH,Active,R H,Single,N,DFN5060-C,40,±20,180,0.0017,,,2,4,No,175,506,720
MCC (Micro Commercial Components),MCACD55N04YHE3,Active,A R H,Dual,N+N,PDFN5060-8D,40,±20,55,0.0085,,,2,4,No,175,72,220
MCC (Micro Commercial Components),MCQD04N06,Active,R H,Dual,N+N,SOP-8,60,±20,4,0.075,0.09,,0.9,2,No,150,12,16
MCC (Micro Commercial Components),MCQD07N04,Active,R H,Dual,N+N,SOP-8,40,±20,7,0.032,0.05,,1,2.5,No,150,14,28
MCC (Micro Commercial Components),MCQD09N06Y,Active,R H,Dual,N+N,SOP-8,60,±20,9,0.02,0.024,,1,2.5,No,150,50,36
MCC (Micro Commercial Components),MCQD08N03B,Active,R H,Dual,N+N,SOP-8,30,±12,8,0.025,0.03,0.04,0.6,1.5,No,150,16,32
MCC (Micro Commercial Components),MCACD60N06Y,Active,R H,Dual,N+N,PDFN5060-8D,60,±20,60,0.0065,0.009,,1,2.5,No,175,128,240
MCC (Micro Commercial Components),MCACD60N06YHE3,Active,A R H,Dual,N+N,PDFN5060-8D,60,±20,60,0.0065,0.009,,1,2.5,No,175,128,240
MCC (Micro Commercial Components),MCACD20N06HE3,Active,A R H,Dual,N+N,PDFN5060-8D,60,±20,20,0.03,0.04,,1,2.5,No,150,40,80
MCC (Micro Commercial Components),MCACD20N10YHE3,Active,A R H,Dual,N+N,PDFN5060-8D,100,±20,20,0.022,0.027,,1,2.5,No,150,81,80
MCC (Micro Commercial Components),MCACD30N04HE3,Active,A R H,Dual,N+N,PDFN5060-8D,40,±20,30,0.015,0.023,,1,2.5,No,150,42,90
MCC (Micro Commercial Components),MCACD50N06YHE3,Active,A R H,Dual,N+N,PDFN5060-8D,60,±20,50,0.009,0.013,,1,2.5,No,150,162,150
MCC (Micro Commercial Components),MCQD08N06,Active,R H,Dual,N+N,SOP-8,60,±20,8,0.022,0.028,,1,3,No,150,49,32
MCC (Micro Commercial Components),MCACD20N10Y,Active,R H,Dual,N+N,DFN5060-8D,100,±20,20,0.022,0.027,,1,2.5,No,150,64,80
MCC (Micro Commercial Components),MCQ4828A,Active,R H,Dual,N+N,SOP-8,60,±20,4.5,0.056,0.077,,1,3,No,150,18,18
MCC (Micro Commercial Components),MCQD05N06,Active,R H,Dual,N+N,SOP-8,60,±20,5,0.035,0.045,,1,2.5,No,150,30,20
MCC (Micro Commercial Components),MCQD08N03A,Active,R H,Dual,N+N,SOP-8,30,±20,8.5,0.023,0.032,,1,2.2,No,150,,34
MCC (Micro Commercial Components),MCQD12N03A,Active,R H,Dual,N+N,SOP-8,30,±20,12,0.012,0.015,,1,2.5,No,150,56,48
MCC (Micro Commercial Components),MCGD25N04,Active,R H,Dual,N+N,DFN3333-D,40,±20,25,0.018,0.024,,1,2.5,No,150,50,100
MCC (Micro Commercial Components),MCQ03N06,Active,R H,Dual,N+N,SOP-8,60,±20,3,0.105,0.125,,0.8,1.4,No,150,,10
MCC (Micro Commercial Components),MCQ05N06,Active,R H,Dual,N+N,SOP-8,60,±20,5,0.045,0.05,,1,3,No,150,,20
MCC (Micro Commercial Components),MCQ05N15,Active,R H,Single,N,SOP-8,150,±25,5,0.063,,,2,4,No,150,40,20
MCC (Micro Commercial Components),MCG50N03,Active,R H,Single,N,DFN3333,30,±20,50,0.006,0.008,,1,2.5,No,175,112,200
MCC (Micro Commercial Components),MCG53N06A,Active,R H,Single,N,DFN3333,60,±20,53,0.0082,0.012,,1.2,2.5,No,150,162,212
MCC (Micro Commercial Components),MCQ15N10YA,Active,R H,Single,N,SOP-8,100,±20,15,0.0095,0.0125,,1,3,No,150,156,60
MCC (Micro Commercial Components),MCAC100N03Y,Active,R H,Single,N,DFN5060,30,±20,100,0.003,0.0046,,1.5,2.5,No,150,270,400
MCC (Micro Commercial Components),MCAC10H03A,Active,R H,Single,N,DFN5060,30,±20,100,0.003,0.004,,1,2.5,No,150,243,400
MCC (Micro Commercial Components),MCAC130N04,Active,R H,Single,N,DFN5060,40,±20,130,0.00175,0.0025,,1,2.5,No,150,600,520
MCC (Micro Commercial Components),MCACD260N10L,Active,R H,Dual,N+N,DFN5060-8D,100,±20,4.9,0.26,0.27,,1.1,3,No,150,4,19.6
MCC (Micro Commercial Components),MCACD6D3N06YHE3,Active,A R H,Dual,N+N,PDFN5060-8D,60,±20,60,0.0063,,,2,4,No,175,121,240
MCC (Micro Commercial Components),MCACD033N10YLHE3,Active,A R H,Dual,N+N,PDFN5060-8D,100,±20,20,0.033,0.042,,1.2,2.2,No,175,20,80
MCC (Micro Commercial Components),MCACD6D5N03L,Active,R H,Dual,N+N,PDFN5060-8D,30,±20,45,0.0065,0.01,,1,2.5,No,150,144,180
MCC (Micro Commercial Components),MCACD6D7N04YHHE3,Active,A R H,Dual,N+N,PDFN5060-8D,40,±20,60,0.0067,,,2,4,No,175,42,240
MCC (Micro Commercial Components),MCACD033N10YL,Active,R H,Dual,N+N,PDFN5060-8D,100,±20,20,0.033,0.042,,1.2,2.2,No,175,20,80
MCC (Micro Commercial Components),MCACD5D0N04YHQ,Active,A R H,Dual,N+N,PDFN5060-8D,40,±20,85,0.005,,,2.2,3.8,No,175,81,340
MCC (Micro Commercial Components),MCG020N03L,Active,R H,Dual,N+N,DFN3333-D,30,±20,21,0.02,0.041,,1,2.2,No,150,16,84
MCC (Micro Commercial Components),MCACD60N04YHE3,Active,A R H,Dual,N+N,PDFN5060-8D,40,±20,60,0.0055,,,2,4,No,175,49,240
MCC (Micro Commercial Components),MCQD05N06HE3,Active,A R H,Dual,N+N,SOP-8,60,±20,5,0.03,0.04,,1,2.5,No,150,30,20
MCC (Micro Commercial Components),MCACD60N04Y,Active,R H,Dual,N+N,PDFN5060-8D,40,±20,60,0.0055,,,2,4,No,175,49,240
MCC (Micro Commercial Components),MCACD013N04L,Active,R H,Dual,N+N,PDFN5060-8D,40,±20,30,0.013,0.02,,1,2.5,No,175,42,120
MCC (Micro Commercial Components),MCACD011N06YL,Active,R H,Dual,N+N,PDFN5060-8D,60,±20,48,0.011,0.016,,1.3,2.4,No,150,35.4,192
MCC (Micro Commercial Components),MCACD030N06L,Active,R H,Dual,N+N,PDFN5060-8D,60,±20,20,0.03,0.04,,1,2.5,No,150,40,80
MCC (Micro Commercial Components),MCACD014N10Y,Active,R H,Dual,N+N,PDFN5060-8D,100,±20,50,0.014,0.022,,1,3,No,150,49,200
MCC (Micro Commercial Components),MCACD033N06Q,Active,A R H,Dual,N+N,PDFN5060-8D,60,±20,22,0.033,0.055,,1.5,2.5,No,175,30,88
MCC (Micro Commercial Components),MCP200N06Y,Active,R H,Single,N,TO-220AB(H),60,±20,200,0.0032,,,2,4,No,150,506,800
MCC (Micro Commercial Components),MCP90N06Y,Active,R H,Single,N,TO-220AB(H),60,±20,90,0.0075,0.01,,1,2.5,No,150,141,360
MCC (Micro Commercial Components),MCQ16N03,Active,R H,Single,N,SOP-8,30,±20,16,0.012,0.016,,1,3,No,150,56,64
MCC (Micro Commercial Components),MCU05N60A,Active,R H,Single,N,DPAK,600,±30,4.5,2.5,,,2,4,No,150,210,18
MCC (Micro Commercial Components),MCU120N04,Active,R H,Single,N,DPAK,40,±20,120,0.0035,0.0048,,1,2.5,No,150,272,480
MCC (Micro Commercial Components),MCU15N10A,Active,R H,Single,N,DPAK,100,±20,15,0.11,0.12,,1.1,3,No,175,9,60
MCC (Micro Commercial Components),MCU20N06A,Active,R H,Single,N,DPAK,60,±20,20,0.03,0.033,,1,2.5,No,150,30,80
MCC (Micro Commercial Components),MCU20N06B,Active,R H,Single,N,DPAK,60,±20,20,0.045,0.047,,1,3,No,150,30,60
MCC (Micro Commercial Components),MCU20N10,Active,R H,Single,N,DPAK,100,±20,20,0.048,0.053,,1.1,3,No,150,10,80
MCC (Micro Commercial Components),MCU30N02,Active,R H,Single,N,DPAK,20,±10,30,,0.007,0.009,0.45,1,No,175,50,120
MCC (Micro Commercial Components),MCU45N10,Active,R H,Single,N,DPAK,100,±20,45,0.017,0.0215,,1,3,No,150,81,180
MCC (Micro Commercial Components),MCU50N03A,Active,R H,Single,N,DPAK,30,±20,50,0.0073,0.0115,,1,2.2,No,150,53,200
MCC (Micro Commercial Components),MCU60N02,Active,R H,Single,N,DPAK,20,±10,60,,0.006,0.0088,0.4,1,No,175,68,240
MCC (Micro Commercial Components),MCU60N04A,Active,R H,Single,N,DPAK,40,±20,60,0.007,0.0096,,0.9,2,No,150,100,240
MCC (Micro Commercial Components),MCU90N06A,Active,R H,Single,N,DPAK,60,±20,90,0.0072,0.0085,,1,2.5,No,150,196,360
MCC (Micro Commercial Components),MSJP11N65A,Active,R H,Single,N,TO-220,650,±30,11,0.396,,,2,4,No,150,142,44
MCC (Micro Commercial Components),MCT04N10B,Active,R H,Single,N,SOT-223,100,±20,4,0.105,0.12,,1.1,3,No,150,16,16
MCC (Micro Commercial Components),MCU20N10A,Active,R H,Single,N,DPAK,100,±20,20,0.045,0.06,,1.2,2.5,No,150,16,80
MCC (Micro Commercial Components),MCU15N10B,Active,R H,Single,N,DPAK,100,±20,15,0.09,0.11,,1.2,2.5,No,150,20,60
MCC (Micro Commercial Components),MCU110N06YA,Active,R H,Single,N,DPAK,60,±20,110,0.0044,0.005,,1.2,2.5,No,150,722,440
MCC (Micro Commercial Components),MCU110N06YB,Active,R H,Single,N,DPAK,60,±20,110,0.005,,,2,4,No,150,722,440
MCC (Micro Commercial Components),MCP90N12A,Active,R H,Single,N,TO-220AB(H),120,±20,90,0.009,0.011,,1,3,No,150,441,360
MCC (Micro Commercial Components),MCU65N10Y,Active,R H,Single,N,DPAK,100,±20,65,0.0086,0.0115,,1.3,2.5,No,150,169,260
MCC (Micro Commercial Components),MCU65N10YA,Active,R H,Single,N,DPAK,100,±20,65,0.0095,,,2,4,No,150,182,260
MCC (Micro Commercial Components),MCU20N06C,Active,R H,Single,N,DPAK,60,±20,20,0.037,0.048,,1,2.5,No,150,24,80
MCC (Micro Commercial Components),MCU05N20A,Active,R H,Single,N,DPAK,200,±20,5,0.6,,,2,4,No,150,64,20
MCC (Micro Commercial Components),MCU18N20A,Active,R H,Single,N,DPAK,200,±20,18,0.15,,,2,4,No,150,286,72
MCC (Micro Commercial Components),MCU40N04HE3,Active,A R H,Single,N,DPAK,40,±20,40,0.013,0.023,,1,2.5,No,150,49,100
MCC (Micro Commercial Components),MCU20N06BHE3,Active,A R H,Single,N,DPAK,60,±20,20,0.043,0.047,,1,2.5,No,150,42,60
MCC (Micro Commercial Components),MCU09N20A,Active,R H,Single,N,DPAK,200,±20,9,0.3,,,1,2,No,150,142,36
MCC (Micro Commercial Components),MCW200N10YA,Active,R H,Single,N,TO-247,100,±20,200,0.0027,,,2,4,No,175,705,800
MCC (Micro Commercial Components),MCU50N06A,Active,R H,Single,N,DPAK,60,±20,50,0.015,0.018,,1,2.5,No,150,72,120
MCC (Micro Commercial Components),MCT04N06,Active,R H,Single,N,SOT-223,60,±20,4,0.088,0.096,,0.9,2,No,150,,16
MCC (Micro Commercial Components),MCU60N06,Active,R H,Single,N,DPAK,60,±20,60,0.011,,,2,4,No,150,130,240
MCC (Micro Commercial Components),MCW220N10Y,Active,R H,Single,N,TO-247,100,±20,220,0.0024,,,2,4,No,175,902,880
MCC (Micro Commercial Components),MCU62N10YHE3,Active,A R H,Single,N,DPAK,100,±20,62,0.011,0.016,,1,2.5,No,175,75,248
MCC (Micro Commercial Components),MCU90N04YHE3,Active,A R H,Single,N,DPAK,40,±20,90,0.0031,,,2,4,No,175,175,360
MCC (Micro Commercial Components),MCPF180N65SH,Active,R H,Single,N,TO-220F,650,±30,8.8,0.186,,,2.5,4.5,No,150,138,35.2
MCC (Micro Commercial Components),MCPF065N15YH,Active,R H,Single,N,TO-220F,150,±20,15,0.065,,,2,4,No,150,6.6,60
MCC (Micro Commercial Components),MCW105N60FH,Active,R H,Single,N,TO-247,600,±30,30.6,0.114,,,3,5,No,150,42.25,122.4
MCC (Micro Commercial Components),MCW075N60FH,Active,R H,Single,N,TO-247,600,±30,41,0.078,,,3,5,No,150,132,164
MCC (Micro Commercial Components),MCW070N60SH,Active,R H,Single,N,TO-247,600,±30,38,0.07,,,2.5,4.5,No,150,56,152
