Manufacture,Product,Status,Compliance,Number of Functions,Channel,Package Type,Drain-Source Voltage VDS (V),Gate-Source Voltage VGS (V),Drain Current ID (A),Drain-Source On-Resistance RDS(ON) Max @VGS=10V (Ω),Drain-Source On-Resistance RDS(ON) Max @VGS=4.5V (Ω),Drain-Source On-Resistance RDS(ON) Max @VGS=2.5V (Ω),Gate Threshold Voltage VGS(th) Min (V),Gate Threshold Voltage VGS(th) Max (V),ESD Diodes,Junction Temperature Tj [max] (°C),Single Pulsed Avalanche Energy EAS(mJ),Pulsed Drain Current IDM(A)
MCC (Micro Commercial Components),MCQ4503A,Active,R H,Dual,N+P,SOP-8,30/-30,±20,6.5/-5.0,0.03/0.06,0.04/0.09,,1.2/-1,2.4/-2.5,No,150,,26/-20
MCC (Micro Commercial Components),MCQ4503B,Active,R H,Dual,N+P,SOP-8,30/-30,±12,5.6/-4.4,0.025/0.055,0.031/0.066,,0.65/-0.60,1.5/-1.4,No,150,,23/-18
MCC (Micro Commercial Components),MCS2305B,Active,R,Single,P,TSSOP-8,-20,±8.0,-8.2,,0.0085,0.011,-0.55,-0.9,No,150,50,-32
MCC (Micro Commercial Components),MCU18P10Y,Active,R H,Single,P,DPAK,-100,±20,-18,0.11,0.13,,-1,-2.5,No,150,100,-72
MCC (Micro Commercial Components),MCT04P06,Active,R H,Single,P,SOT-223,-60,±20,-3.5,0.08,0.1,,-1,-3,No,150,30,-14
MCC (Micro Commercial Components),MCP60P06,Active,R H,Single,P,TO-220AB(H),-60,±20,-60,0.018,,,-2,-3.5,No,175,722,-240
MCC (Micro Commercial Components),MCB40P10Y,Active,R H,Single,P,D2-PAK,-100,±20,-40,0.056,0.062,,-1,-2.5,No,150,132,-160
MCC (Micro Commercial Components),MCU80P06Y,Active,R H,Single,P,DPAK,-60,±20,-80,0.0084,,,-2,-4,No,150,400,-320
MCC (Micro Commercial Components),MCU60P06,Active,R H,Single,P,DPAK,-60,±20,-60,0.018,,,-2,-3.5,No,150,289,-240
MCC (Micro Commercial Components),MCU30P06Y,Active,R H,Single,P,DPAK,-60,±20,-30,0.055,0.065,,-1.5,-2.7,No,150,49,-120
