,,Fast Recovery Rectifiers,,,,,,,,,,,,
Manufacture,Product,Status,Compliance,Number of Functions,Package Type,IF(AV)(A),VRWM (V),"VF
(V) [max]@IF(A)","IR (uA)  [max] @
VR",TRR (μs),IFSM (A),IF(A),VR (V),"Tj [max]
(°C)"
,,,,,,,,,,,,,,
MCC (Micro Commercial Components),FSM15PL,Active,R H,Single,SOD-123FL,1,600,1.3,1,0.25,30,1,600,150
MCC (Micro Commercial Components),FSM13PL,Active,R H,Single,SOD-123FL,1,200,1.3,1,0.15,30,1,200,150
MCC (Micro Commercial Components),FSM14PL,Active,R H,Single,SOD-123FL,1,400,1.3,1,0.15,30,1,400,150
MCC (Micro Commercial Components),FSM154PL,Active,R H,Single,SOD-123FL,1.5,400,1.3,5,0.15,45,1,400,150
MCC (Micro Commercial Components),FSM155PL,Active,R H,Single,SOD-123FL,1.5,600,1.3,5,0.25,45,1,600,150
MCC (Micro Commercial Components),FSM157PL,Active,R H,Single,SOD-123FL,1.5,1000,1.3,5,0.5,45,1,1000,150
MCC (Micro Commercial Components),FSM24HL,Active,R H,Single,SOD-123HL,2,400,1.3,5,0.15,50,2,400,150
MCC (Micro Commercial Components),FSM25HL,Active,R H,Single,SOD-123HL,2,600,1.3,5,0.25,50,2,600,150
MCC (Micro Commercial Components),FSM27HL,Active,R H,Single,SOD-123HL,2,1000,1.3,5,0.5,50,2,1000,150
MCC (Micro Commercial Components),FSM14HL,Active,R H,Single,SOD-123HL,1,400,1.3,5,0.15,30,1,400,150
MCC (Micro Commercial Components),FSM15HL,Active,R H,Single,SOD-123HL,1,600,1.3,5,0.25,30,1,600,150
MCC (Micro Commercial Components),FSM17HL,Active,R H,Single,SOD-123HL,1,1000,1.3,5,0.5,30,1,1000,150
MCC (Micro Commercial Components),FS1GFL,Active,R H,Single,DO-221AC,1,400,1.3,5,0.15,30,1,400,150
MCC (Micro Commercial Components),FS1JFL,Active,R H,Single,DO-221AC,1,600,1.3,5,0.25,30,1,600,150
MCC (Micro Commercial Components),FS1MFL,Active,R H,Single,DO-221AC,1,1000,1.3,5,0.5,30,1,1000,150
MCC (Micro Commercial Components),FS2GFL,Active,R H,Single,DO-221AC,2,400,1.3,5,0.15,50,2,400,150
MCC (Micro Commercial Components),FS2JFL,Active,R H,Single,DO-221AC,2,600,1.3,5,0.25,50,2,600,150
MCC (Micro Commercial Components),FS2MFL,Active,R H,Single,DO-221AC,2,1000,1.3,5,0.5,50,2,1000,150
MCC (Micro Commercial Components),FR151GP,Active,R,Single,DO-15,1.5,50,1.3,5,0.15,50,1.5,50,150
MCC (Micro Commercial Components),FR154GP,Active,R,Single,DO-15,1.5,400,1.3,5,0.15,50,1.5,400,150
MCC (Micro Commercial Components),FR155GP,Active,R,Single,DO-15,1.5,600,1.3,5,0.25,50,1.5,600,150
