,,Small Signal Schottky Diodes,,,,,,,,,,,
Manufacture,Product,Status,Compliance,Number of Functions,Configuration,Package Type,IF(AV)(A),VRWM (V),"VF
(V) [max]@IF(A)","IR (uA) [max] @
VR",VR (V),IF(A),Tj [max] (°C)
,,,,,,,,,,,,,
MCC (Micro Commercial Components),BAT54AH,Active,R H,Dual,Common Anode,SOT-23,0.3,40,0.9,1,30,0.1,150
MCC (Micro Commercial Components),BAS40-06HE3,Active,A R H,Dual,Common Anode,SOT-23,0.2,40,1,0.2,30,0.04,150
MCC (Micro Commercial Components),BAT64-06,Active,R H,Dual,Common Anode,SOT-23,0.25,40,0.43,2,25,0.01,150
MCC (Micro Commercial Components),BAS70-06HE3,Active,A R H,Dual,Common Anode,SOT-23,0.07,70,1,0.2,50,0.015,125
MCC (Micro Commercial Components),BAT54A,Active,R H,Dual,Common Anode,SOT-23,0.2,30,0.4,2,25,0.01,125
MCC (Micro Commercial Components),BAS40-06,Active,R H,Dual,Common Anode,SOT-23,0.2,40,1,0.01,30,0.04,125
MCC (Micro Commercial Components),BAS70-06,Active,R H,Dual,Common Anode,SOT-23,0.07,70,1,0.01,50,0.015,125
MCC (Micro Commercial Components),BAS70WT-06,Active,R H,Dual,Common Anode,SOT-323,0.07,70,1,0.1,50,0.015,125
MCC (Micro Commercial Components),BAS40WT-06,Active,R H,Dual,Common Anode,SOT-323,0.2,40,1,1,30,0.04,150
MCC (Micro Commercial Components),BAT54AWTHE3,Active,A R H,Dual,Common Anode,SOT-323,0.2,30,0.8,2,25,0.1,125
MCC (Micro Commercial Components),BAT54AWTHQ,Active,A R H,Dual,Common Anode,SOT-323,0.2,30,1,2,25,0.1,150
MCC (Micro Commercial Components),BAS40WT-06HQ,Active,A R H,Dual,Common Anode,SOT-323,0.12,40,1,0.2,30,0.04,150
MCC (Micro Commercial Components),BAT54AWT,Active,R H,Dual,Common Anode,SOT-323,0.2,30,0.8,2,25,0.1,125
MCC (Micro Commercial Components),BAS40WT-06HE3,Active,A R H,Dual,Common Anode,SOT-323,0.12,40,1,0.2,30,0.04,150
MCC (Micro Commercial Components),BAS70WT-06HE3,Active,A R H,Dual,Common Anode,SOT-323,0.07,70,1,0.2,50,0.015,125
MCC (Micro Commercial Components),BAT54AWTH,Active,R H,Dual,Common Anode,SOT-323,0.2,30,0.8,2,25,0.1,150
MCC (Micro Commercial Components),BAS70WT-06HQ,Active,A R H,Dual,Common Anode,SOT-323,0.07,70,1,0.2,50,0.015,150
MCC (Micro Commercial Components),BAT54AHE3,Active,A R H,Dual,Common Anode,SOT-23,0.2,30,0.4,2,25,0.01,125
