,,Pre-Biased Transistors,,,,,,,,,,,
Manufacture,Product,Status,Compliance,Number of Functions,Polarity,Package Type,IO(mA),R1 Typ (KΩ),R2 Typ (KΩ),VCC(V),fT(MHz),PD(mW),Tj [max] (°C)
,,,,,,,,,,,,,
MCC (Micro Commercial Components),UMD12N-TPQ2,Active,R H,Dual(R1/R2),NPN+PNP,SOT-363,100/-100,47,47,50/-50,200,150,150
MCC (Micro Commercial Components),UMD15NHE3,Active,A R H,Dual(R1/R2),NPN+PNP,SOT-363,100/-100,4.7,4.7,50/-50,250,150,150
MCC (Micro Commercial Components),EMD22,Active,R H,Dual(R1/R2),NPN+PNP,SOT-563,100/-100,4.7,47,50/-50,250,150,150
MCC (Micro Commercial Components),EMD9,Active,R H,Dual(R1/R2),NPN+PNP,SOT-563,100/-100,10,47,50/-50,250,150,150
MCC (Micro Commercial Components),EMD2,Active,R H,Dual(R1/R2),NPN+PNP,SOT-563,100/-100,22,22,50/-50,200,150,150
MCC (Micro Commercial Components),UMD2NS,Active,R H,Dual(R1/R2),NPN+PNP,SOT-363S,100/-100,22,22,50/-50,200,150,150
MCC (Micro Commercial Components),UMD12NS,Active,R H,Dual(R1/R2),NPN+PNP,SOT-363S,100/-100,47,47,50/-50,200,150,150
MCC (Micro Commercial Components),EMD16,Active,R H,Dual(R1/R2),NPN+PNP,SOT-563,100/-100,22,47,50/-50,250,150,150
MCC (Micro Commercial Components),UMD11N,Active,R H,Dual(R1/R2),NPN+PNP,SOT-363,100/-100,10,10,50/-50,200,150,150
MCC (Micro Commercial Components),UMD13N,Active,R H,Dual(R1/R2),NPN+PNP,SOT-363,100/-100,4.7,47,50/-50,200,150,150
MCC (Micro Commercial Components),UMD16N,Active,R H,Dual(R1/R2),NPN+PNP,SOT-363,100/-100,22,47,50/-50,200,150,150
MCC (Micro Commercial Components),UMD18N,Active,R H,Dual(R1/R2),NPN+PNP,SOT-363,100/-100,4.7,10,50/-50,200,150,150
MCC (Micro Commercial Components),UMB9N,Active,R H,Dual(R1/R2),PNP*2,SOT-363,-100,10,47,-50,200,150,150
MCC (Micro Commercial Components),UMB9NHE3,Active,A R H,Dual(R1/R2),PNP*2,SOT-363,-100,10,47,-50,200,150,150
MCC (Micro Commercial Components),UMB1NHE3,Active,A R H,Dual(R1/R2),PNP*2,SOT-363,-100,22,22,-50,200,150,150
MCC (Micro Commercial Components),EMB9,Active,R H,Dual(R1/R2),PNP*2,SOT-563,-100,10,47,-50,200,150,150
MCC (Micro Commercial Components),UMB2NS,Active,R H,Dual(R1/R2),PNP*2,SOT-363S,-100,47,47,-50,200,150,150
MCC (Micro Commercial Components),EMB1,Active,R H,Dual(R1/R2),PNP*2,SOT-563,-100,22,22,-50,200,150,150
MCC (Micro Commercial Components),EMB11,Active,R H,Dual(R1/R2),PNP*2,SOT-563,-100,10,10,-50,250,150,150
MCC (Micro Commercial Components),UMB10N,Active,R H,Dual(R1/R2),PNP*2,SOT-363,-100,2.2,47,-50,200,150,150
MCC (Micro Commercial Components),UMB1N,Active,R H,Dual(R1/R2),PNP*2,SOT-363,-100,22,22,-50,200,150,150
