Manufacture,Product,Status,Compliance,Number of Functions,Package Type,IF(AV)(A),VRWM (V),VF (V) [max]@IF(A),IR (uA) [max] @ VR,IFSM (A),IF(A),VR (V),Tj [max] (°C)
MCC (Micro Commercial Components),UD2KB100,Active,R H,1-Phase Bridge,D3K,2,1000,1,5,60,1,1000,150
MCC (Micro Commercial Components),UD3KB60,Active,R H,1-Phase Bridge,D3K,3,600,1,5,90,1.5,600,150
MCC (Micro Commercial Components),UD3KB80,Active,R H,1-Phase Bridge,D3K,3,800,1,5,90,1.5,800,150
MCC (Micro Commercial Components),UD3KB100,Active,R H,1-Phase Bridge,D3K,3,1000,1,5,90,1.5,1000,150
MCC (Micro Commercial Components),UD4KB60,Active,R H,1-Phase Bridge,D3K,4,600,1,5,130,2,600,150
MCC (Micro Commercial Components),UD4KB80,Active,R H,1-Phase Bridge,D3K,4,800,1,5,130,2,800,150
MCC (Micro Commercial Components),UD4KB100,Active,R H,1-Phase Bridge,D3K,4,1000,1,5,130,2,1000,150
MCC (Micro Commercial Components),GBJ5006,Active,R H,1-Phase Bridge,GBJ,50,600,1,5,400,25,600,150
MCC (Micro Commercial Components),GBJ5008,Active,R H,1-Phase Bridge,GBJ,50,800,1,5,400,25,800,150
MCC (Micro Commercial Components),GBJ5010,Active,R H,1-Phase Bridge,GBJ,50,1000,1,5,400,25,1000,150
MCC (Micro Commercial Components),GBL406-BPC01,Active,R H,1-Phase Bridge,GBL,4,600,1,5,150,2,600,150
MCC (Micro Commercial Components),GBL408-BPC01,Active,R H,1-Phase Bridge,GBL,4,800,1,5,150,2,800,150
MCC (Micro Commercial Components),GBL410-BPC01,Active,R H,1-Phase Bridge,GBL,4,1000,1,5,150,2,1000,150
MCC (Micro Commercial Components),GBU2506,Active,R H,1-Phase Bridge,GBU,25,600,1,5,300,12.5,600,150
MCC (Micro Commercial Components),GBU2508,Active,R H,1-Phase Bridge,GBU,25,800,1,5,300,12.5,800,150
MCC (Micro Commercial Components),GBU2510,Active,R H,1-Phase Bridge,GBU,25,1000,1,5,300,12.5,1000,150
MCC (Micro Commercial Components),GBL606,Active,R H,1-Phase Bridge,GBL,6,600,1,5,150,3,600,150
MCC (Micro Commercial Components),GBL608,Active,R H,1-Phase Bridge,GBL,6,800,1,5,150,3,800,150
MCC (Micro Commercial Components),GBL610,Active,R H,1-Phase Bridge,GBL,6,1000,1,5,150,3,1000,150
MCC (Micro Commercial Components),GBJA606,Active,R H,1-Phase Bridge,JA,6,600,1,5,135,3,600,150
MCC (Micro Commercial Components),GBJA608,Active,R H,1-Phase Bridge,JA,6,800,1,5,135,3,800,150
MCC (Micro Commercial Components),GBJA610,Active,R H,1-Phase Bridge,JA,6,1000,1,5,135,3,1000,150
MCC (Micro Commercial Components),GBJA806,Active,R H,1-Phase Bridge,JA,8,600,1,5,150,4,600,150
MCC (Micro Commercial Components),GBJA808,Active,R H,1-Phase Bridge,JA,8,800,1,5,150,4,800,150
MCC (Micro Commercial Components),GBJA810,Active,R H,1-Phase Bridge,JA,8,1000,1,5,150,4,1000,150
MCC (Micro Commercial Components),GBJA1006,Active,R H,1-Phase Bridge,JA,10,600,1,5,150,5,600,150
MCC (Micro Commercial Components),GBJA1008,Active,R H,1-Phase Bridge,JA,10,800,1,5,150,5,800,150
MCC (Micro Commercial Components),GBJA1010,Active,R H,1-Phase Bridge,JA,10,1000,1,5,150,5,1000,150
MCC (Micro Commercial Components),GBJA2006,Active,R H,1-Phase Bridge,JA,20,600,1,5,240,10,600,150
MCC (Micro Commercial Components),GBJA2008,Active,R H,1-Phase Bridge,JA,20,800,1,5,240,10,800,150
MCC (Micro Commercial Components),GBJA2010,Active,R H,1-Phase Bridge,JA,20,1000,1,5,240,10,1000,150
MCC (Micro Commercial Components),PB2506,Active,R H,1-Phase Bridge,PB,25,600,1,5,350,12.5,600,150
MCC (Micro Commercial Components),PB2508,Active,R H,1-Phase Bridge,PB,25,800,1,5,350,12.5,800,150
MCC (Micro Commercial Components),PB2510,Active,R H,1-Phase Bridge,PB,25,1000,1,5,350,12.5,1000,150
MCC (Micro Commercial Components),GBJ15L08,Active,R H,1-Phase Bridge,GBJ,15,800,0.92,5,250,7.5,800,150
MCC (Micro Commercial Components),GBJ25L08,Active,R H,1-Phase Bridge,GBJ,25,800,0.92,5,360,12.5,800,150
MCC (Micro Commercial Components),GBUA10M,Active,R H,1-Phase Bridge,JC,10,1000,1,5,175,5,1000,150
MCC (Micro Commercial Components),GBUA4M,Active,R H,1-Phase Bridge,JC,4,1000,1,5,135,2,1000,150
MCC (Micro Commercial Components),GBUA6M,Active,R H,1-Phase Bridge,JC,6,1000,1,5,150,3,1000,150
MCC (Micro Commercial Components),KBJ2510G,Active,R H,1-Phase Bridge,KBJ,25,1000,1,5,300,12.5,1000,150
MCC (Micro Commercial Components),EGBJ1006,Active,R H,1-Phase Bridge,GBJ,10,600,1.7,5,175,5,600,150
MCC (Micro Commercial Components),EGBJ1506,Active,R H,1-Phase Bridge,GBJ,15,600,2,5,180,7.5,600,150
MCC (Micro Commercial Components),EGBJ2006,Active,R H,1-Phase Bridge,GBJ,20,600,2,5,180,10,600,150
MCC (Micro Commercial Components),EGBJ2506,Active,R H,1-Phase Bridge,GBJ,25,600,2,5,220,12.5,600,150
MCC (Micro Commercial Components),EGBJ3506,Active,R H,1-Phase Bridge,GBJ,35,600,2,5,350,17.5,600,150
MCC (Micro Commercial Components),EGBJ5006,Active,R H,1-Phase Bridge,GBJ,50,600,2,5,380,25,600,150
