,,TVS,,,,,,,,,,,
Manufacture,Product,Status,Compliance,Configuration,Package Type,"Peak Pulse
Power
Dissipation
PPPM (W)","Reverse
Standoff
Voltage
VRWM(V)","Reverse
Leakage
IR(uA)","Max.
Clamping
Voltage
VC (V)","Peak Pulse
Current
IPP(A) ","Breakdown
Voltage
Min VBR(V)","Breakdown
Voltage
Max VBR(V)","Junction
Temperature
Tj [max] (°C)"
,,,,,,,,,,,,,
MCC (Micro Commercial Components),SMAJP4KE510AQ,Active,A R H,Unidirectional,SMA,400,434,1,698,0.57,485,535,175
MCC (Micro Commercial Components),SMAJP4KE530AQ,Active,A R H,Unidirectional,SMA,400,451,1,725,0.55,503.5,556.5,175
MCC (Micro Commercial Components),SMAJP4KE540AQ,Active,A R H,Unidirectional,SMA,400,460,1,740,0.54,513,567,175
MCC (Micro Commercial Components),SMAJP4KE480AQ,Active,A R H,Unidirectional,SMA,400,408,1,658,0.61,456,504,175
MCC (Micro Commercial Components),SMAJP4KE540CAQ,Active,A R H,Bidirectional,SMA,400,460,1,740,0.54,513,567,175
MCC (Micro Commercial Components),SM8Z28AHE3,Active,A R,Unidirectional,DO-218AB,8000,28,10,45.4,176.2,31.1,34.4,175
MCC (Micro Commercial Components),SMAJP4KE300AQ,Active,A R H,Unidirectional,SMA,400,256,1,414,0.97,285,315,175
MCC (Micro Commercial Components),SMAJP4KE350AQ,Active,A R H,Unidirectional,SMA,400,300,1,482,0.83,332.5,367.5,175
MCC (Micro Commercial Components),SMAJP4KE400AQ,Active,A R H,Unidirectional,SMA,400,342,1,552,0.72,380,420,175
MCC (Micro Commercial Components),SM8Z36AHE3,Active,A R,Unidirectional,DO-218AB,8000,36,10,58.1,137.7,40,44.2,175
MCC (Micro Commercial Components),SM8Z40AHE3,Active,A R,Unidirectional,DO-218AB,8000,40,10,64.5,124,44.4,49.1,175
MCC (Micro Commercial Components),SM8Z16AHE3,Active,A R,Unidirectional,DO-218AB,8000,16,10,26,307.7,17.8,19.7,175
MCC (Micro Commercial Components),SM8Z17AHE3,Active,A R,Unidirectional,DO-218AB,8000,17,10,27.6,289.9,18.9,20.9,175
MCC (Micro Commercial Components),SM8Z18AHE3,Active,A R,Unidirectional,DO-218AB,8000,18,10,29.2,274,20,22.1,175
MCC (Micro Commercial Components),SM8Z20AHE3,Active,A R,Unidirectional,DO-218AB,8000,20,10,32.4,246.9,22.2,24.5,175
MCC (Micro Commercial Components),SM8Z22AHE3,Active,A R,Unidirectional,DO-218AB,8000,22,10,35.5,225.4,24.4,26.9,175
MCC (Micro Commercial Components),SM8Z36CAHE3,Active,A R,Bidirectional,DO-218AB,8000,36,10,58.1,137.7,40,44.2,175
MCC (Micro Commercial Components),SM8Z15CAHE3,Active,A R,Bidirectional,DO-218AB,8000,15,10,24.4,327.9,16.7,18.5,175
MCC (Micro Commercial Components),SM8Z16CAHE3,Active,A R,Bidirectional,DO-218AB,8000,16,10,26,307.7,17.8,19.7,175
MCC (Micro Commercial Components),SM8Z17CAHE3,Active,A R,Bidirectional,DO-218AB,8000,17,10,27.6,289.9,18.9,20.9,175
MCC (Micro Commercial Components),SM8Z18CAHE3,Active,A R,Bidirectional,DO-218AB,8000,18,10,29.2,274,20,22.1,175
MCC (Micro Commercial Components),SM8Z20CAHE3,Active,A R,Bidirectional,DO-218AB,8000,20,10,32.4,246.9,22.2,24.5,175
MCC (Micro Commercial Components),SM8Z22CAHE3,Active,A R,Bidirectional,DO-218AB,8000,22,10,35.5,225.4,24.4,26.9,175
MCC (Micro Commercial Components),SM8Z43AHE3,Active,A R,Unidirectional,DO-218AB,8000,43,10,69.4,115.3,47.8,52.8,175
